instance,algorithm,encoding,fitness_func,run,cover_size,is_valid,fitness,time_sec
small_20nodes,GA,BinaryEncoding,LinearSoftPenalty,1,13,True,-13.0,0.3744068145751953
small_20nodes,SA,BinaryEncoding,LinearSoftPenalty,1,13,True,-13.0,0.05234503746032715
small_20nodes,TS,BinaryEncoding,LinearSoftPenalty,1,13,True,-13.0,0.018920183181762695
small_20nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.41015005111694336
small_20nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.04933738708496094
small_20nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.019044876098632812
small_20nodes,GA,BinaryEncoding,RepairBasedFitness,1,8,False,-13.0,0.4713327884674072
small_20nodes,SA,BinaryEncoding,RepairBasedFitness,1,8,False,-13.0,0.05335259437561035
small_20nodes,TS,BinaryEncoding,RepairBasedFitness,1,6,False,-13.0,0.022175073623657227
small_20nodes,GA,SetEncoding,LinearSoftPenalty,1,15,True,-15.0,0.26874804496765137
small_20nodes,SA,SetEncoding,LinearSoftPenalty,1,14,True,-14.0,0.03325152397155762
small_20nodes,TS,SetEncoding,LinearSoftPenalty,1,13,True,-13.0,0.007828950881958008
small_20nodes,GA,SetEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.266646146774292
small_20nodes,SA,SetEncoding,AdaptiveEdgeWeighting,1,14,True,-14.0,0.03578925132751465
small_20nodes,TS,SetEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.00892329216003418
small_20nodes,GA,SetEncoding,RepairBasedFitness,1,9,False,-13.0,0.3154270648956299
small_20nodes,SA,SetEncoding,RepairBasedFitness,1,4,False,-13.0,0.04068779945373535
small_20nodes,TS,SetEncoding,RepairBasedFitness,1,4,False,-13.0,0.01283407211303711
small_20nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,1,14,True,-14.0,0.9220960140228271
small_20nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,1,15,True,-15.0,0.10000276565551758
small_20nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,1,15,True,-15.0,0.1406259536743164
small_20nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,14,True,-14.0,0.9238183498382568
small_20nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,13,False,-14.0,0.10422945022583008
small_20nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,14,False,-16.0,0.14696788787841797
small_20nodes,GA,EdgeCentricEncoding,RepairBasedFitness,1,12,False,-14.0,0.9260032176971436
small_20nodes,SA,EdgeCentricEncoding,RepairBasedFitness,1,14,False,-15.0,0.1023554801940918
small_20nodes,TS,EdgeCentricEncoding,RepairBasedFitness,1,14,False,-16.0,0.14180755615234375
small_20nodes,GA,BinaryEncoding,LinearSoftPenalty,2,13,True,-13.0,0.3688468933105469
small_20nodes,SA,BinaryEncoding,LinearSoftPenalty,2,14,True,-14.0,0.04224228858947754
small_20nodes,TS,BinaryEncoding,LinearSoftPenalty,2,13,True,-13.0,0.016083717346191406
small_20nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,2,13,True,-13.0,0.38507509231567383
small_20nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,2,14,True,-14.0,0.04667830467224121
small_20nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,2,13,True,-13.0,0.022404909133911133
small_20nodes,GA,BinaryEncoding,RepairBasedFitness,2,5,False,-13.0,0.4610910415649414
small_20nodes,SA,BinaryEncoding,RepairBasedFitness,2,8,False,-13.0,0.05169391632080078
small_20nodes,TS,BinaryEncoding,RepairBasedFitness,2,10,False,-14.0,0.02122187614440918
