instance,algorithm,encoding,fitness_func,run,cover_size,is_valid,fitness,time_sec
small_20nodes,GA,BinaryEncoding,LinearSoftPenalty,1,13,True,-13.0,0.39168357849121094
small_20nodes,SA,BinaryEncoding,LinearSoftPenalty,1,13,True,-13.0,0.04893374443054199
small_20nodes,TS,BinaryEncoding,LinearSoftPenalty,1,13,True,-13.0,0.01938486099243164
small_20nodes,GA,BinaryEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.39879846572875977
small_20nodes,SA,BinaryEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.05161881446838379
small_20nodes,TS,BinaryEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.019849538803100586
small_20nodes,GA,BinaryEncoding,RepairBasedFitness,1,8,False,-13.0,0.46180033683776855
small_20nodes,SA,BinaryEncoding,RepairBasedFitness,1,8,False,-13.0,0.05247855186462402
small_20nodes,TS,BinaryEncoding,RepairBasedFitness,1,6,False,-13.0,0.022493362426757812
small_20nodes,GA,SetEncoding,LinearSoftPenalty,1,15,True,-15.0,0.271864652633667
small_20nodes,SA,SetEncoding,LinearSoftPenalty,1,14,True,-14.0,0.03518819808959961
small_20nodes,TS,SetEncoding,LinearSoftPenalty,1,13,True,-13.0,0.00841069221496582
small_20nodes,GA,SetEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.2752993106842041
small_20nodes,SA,SetEncoding,AdaptiveEdgeWeighting,1,14,True,-14.0,0.03580808639526367
small_20nodes,TS,SetEncoding,AdaptiveEdgeWeighting,1,13,True,-13.0,0.008967399597167969
small_20nodes,GA,SetEncoding,RepairBasedFitness,1,9,False,-13.0,0.33084535598754883
small_20nodes,SA,SetEncoding,RepairBasedFitness,1,4,False,-13.0,0.04445242881774902
small_20nodes,TS,SetEncoding,RepairBasedFitness,1,4,False,-13.0,0.014499425888061523
small_20nodes,GA,EdgeCentricEncoding,LinearSoftPenalty,1,14,True,-14.0,0.9442112445831299
small_20nodes,SA,EdgeCentricEncoding,LinearSoftPenalty,1,15,True,-15.0,0.10532546043395996
small_20nodes,TS,EdgeCentricEncoding,LinearSoftPenalty,1,15,True,-15.0,0.15117549896240234
small_20nodes,GA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,14,True,-14.0,0.9702796936035156
small_20nodes,SA,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,13,False,-14.0,0.1055903434753418
small_20nodes,TS,EdgeCentricEncoding,AdaptiveEdgeWeighting,1,14,False,-16.0,0.14990901947021484
